1544887090, 4.846
1544887132, 4.839
1544887172, 4.808
1544887213, 4.807
1544887254, 4.825
1544887295, 4.825
1544887336, 4.801
1544887377, 4.778
1544887418, 4.774
1544887459, 4.742
1544887500, 4.823
1544887543, 4.907
1544887585, 5.739
1544887634, 5.816
1544887682, 5.086
1544887759, 4.861
1544887809, 4.988
1544887855, 4.886
1544888006, 4.827
1544888048, 4.803
1544888089, 4.752
1544888130, 4.776
1544888171, 4.794
1544888212, 4.751
1544888252, 4.792
1544888292, 4.763
1544888334, 5.158
1544888376, 4.729
1544888417, 4.770
1544888457, 4.773
1544888498, 4.804
1544888539, 4.758
1544888580, 4.764
1544888621, 4.743
1544888667, 4.723
1544888712, 4.747
1544888758, 4.766
1544888803, 4.710
1544888848, 4.774
1544888894, 4.822
1544888941, 4.756
1544888986, 4.760
1544889032, 4.776
1544889077, 4.756
1544889122, 4.787
1544889368, 4.762
1544889410, 4.761
1544889451, 4.788
1544889492, 4.812
1544889532, 4.779
1544889573, 4.788
1544889614, 4.802
1544894304, 4.731
1544894345, 4.788
1544894385, 4.726
1544894425, 5.173
1544894468, 6.092
1544894510, 5.975
1544894552, 7.091
1544894593, 5.624
1544894635, 5.573
1544894676, 6.720
1544894721,
1544894763, 8.418
1544894807, 8.259
1544894850, 8.639
1544894894, 6.093
1544894935, 6.070
1544894976, 6.170
1544895017, 5.951
1544895059, 5.975
1544895100, 5.955
1544895142, 5.950
1544895185, 5.504
1544895228, 6.657
1544895269, 6.139
1544895312, 5.820
1544895354, 6.409
1544895398, 6.229
1544895438, 5.172
1544895479, 5.534
1544895522, 5.745
1544895565, 5.906
1544895607, 6.426
1544895649, 7.309
1544895691, 5.387
